timestamp,pollutant,value,z_score,mad_z,method
2004-01-04 04:00:00,NO2,49.0,-3.089310957365981,0.0,zscore
2004-01-04 05:00:00,NO2,50.0,-3.0401716170874575,0.0,zscore
2004-01-04 07:00:00,Benzene,19.8,3.015521153413791,0.0,zscore
2004-01-04 07:00:00,CO,4.2,3.672326222730382,0.0,zscore
2004-01-04 08:00:00,Benzene,31.9,6.7553128290861455,0.0,zscore
2004-01-04 08:00:00,CO,6.2,7.17166014929046,0.0,zscore
2004-01-04 09:00:00,Benzene,21.0,3.386409584058983,0.0,zscore
2004-01-04 09:00:00,CO,4.6,4.372193008042396,0.0,zscore
2004-01-04 18:00:00,Benzene,21.2,3.4482243224998483,0.0,zscore
2004-01-04 18:00:00,CO,4.2,3.672326222730382,0.0,zscore
2004-01-04 19:00:00,Benzene,25.0,4.622704352876291,0.0,zscore
2004-01-04 19:00:00,CO,5.5,5.946893274994432,0.0,zscore
2004-01-04 20:00:00,Benzene,20.2,3.1391506302955214,0.0,zscore
2004-01-04 20:00:00,CO,4.9,4.89709309702641,0.0,zscore
2004-01-05 04:00:00,NO2,42.0,-3.4332863393156443,0.0,zscore
2004-01-05 05:00:00,NO2,32.0,-3.9246797421008774,0.0,zscore
2004-01-05 06:00:00,NO2,35.0,-3.7772617212653077,0.0,zscore
2004-01-05 19:00:00,CO,4.0,3.322392830074374,0.0,zscore
2004-01-06 00:00:00,CO,0.3,-3.1513749340617703,0.0,zscore
2004-01-06 00:00:00,NO2,45.0,-3.285868318480074,0.0,zscore
2004-01-06 01:00:00,NO2,23.0,-4.366933804607587,0.0,zscore
2004-01-06 02:00:00,NO2,26.0,-4.219515783772017,0.0,zscore
2004-01-06 04:00:00,NO2,24.0,-4.317794464329064,0.0,zscore
2004-01-06 05:00:00,CO,0.1,-3.501308326717778,0.0,zscore
2004-01-06 05:00:00,NO2,41.0,-3.4824256795941677,0.0,zscore
2004-01-06 06:00:00,CO,0.3,-3.1513749340617703,0.0,zscore
2004-01-06 17:00:00,Benzene,22.0,3.69548327626331,0.0,zscore
2004-01-06 18:00:00,Benzene,19.9,3.046428522634223,0.0,zscore
2004-01-06 19:00:00,Benzene,27.9,5.519018060268838,0.0,zscore
2004-01-06 19:00:00,CO,4.8,4.7221264006984045,0.0,zscore
2004-01-07 02:00:00,NO2,50.0,-3.0401716170874575,0.0,zscore
2004-01-07 04:00:00,NO2,40.0,-3.5315650198726907,0.0,zscore
2004-01-07 08:00:00,Benzene,22.3,3.788205383924608,0.0,zscore
2004-01-07 08:00:00,CO,3.9,3.14742613374637,0.0,zscore
2004-01-07 19:00:00,Benzene,22.9,3.973649599247204,0.0,zscore
2004-01-07 19:00:00,CO,4.4,4.02225961538639,0.0,zscore
2004-01-07 19:00:00,NO2,179.0,3.298803278842051,0.0,zscore
2004-01-08 02:00:00,NO2,40.0,-3.5315650198726907,0.0,zscore
2004-01-08 04:00:00,NO2,26.0,-4.219515783772017,0.0,zscore
2004-01-08 05:00:00,NO2,21.0,-4.465212485164634,0.0,zscore
2004-01-08 06:00:00,NO2,30.0,-4.022958422657924,0.0,zscore
2004-01-08 07:00:00,NO2,21.0,-4.465212485164634,0.0,zscore
2004-01-08 08:00:00,NO2,35.0,-3.7772617212653077,0.0,zscore
2004-01-08 09:00:00,NO2,36.0,-3.7281223809867843,0.0,zscore
